Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Missing Dot,wwwfaceboook.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Singular or Pluralise,faceboooks.com,204.11.56.37,,,com,
Vowel Swap,facaboook.com,103.224.212.222,,park-mx.above.com,com,
Vowel Swap,faciboook.com,,?,,com,
Vowel Swap,facoboook.com,,?,,com,
Vowel Swap,facuboook.com,,?,,com,
Vowel Swap,feceboook.com,185.53.178.7,,mail.h-email.net,com,
Vowel Swap,ficeboook.com,,?,,com,
Vowel Swap,foceboook.com,,?,,com,
Vowel Swap,fuceboook.com,,?,,com,
Bit Flipping,baceboook.com,,?,,com,
Bit Flipping,faaeboook.com,,?,,com,
Bit Flipping,fabeboook.com,,?,,com,
Bit Flipping,facdboook.com,,?,,com,
Bit Flipping,facebgook.com,31.13.69.197,IE,IRELAND,,com,
Bit Flipping,facebkook.com,199.59.242.150,PL,POLAND,mx76.mb1p.com,com,
Bit Flipping,facebmook.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Bit Flipping,facebnook.com,162.210.70.23,,,com,
Bit Flipping,facebogok.com,,?,,com,
Bit Flipping,facebokok.com,31.13.69.197,NZ,NEW ZEALAND,,com,
Bit Flipping,facebomok.com,31.13.69.197,IE,IRELAND,,com,
Bit Flipping,facebonok.com,,?,,com,
Bit Flipping,faceboogk.com,103.224.182.251,,park-mx.above.com,com,
Bit Flipping,facebookk.com,,?,,com,
Bit Flipping,faceboomk.com,103.59.164.125,,faceboomk.com,com,
Bit Flipping,faceboonk.com,31.13.69.197,IE,IRELAND,,com,
Bit Flipping,faceboooc.com,,?,,com,
Bit Flipping,faceboooi.com,,?,,com,
Bit Flipping,faceboooo.com,23.88.199.108,,,com,
Bit Flipping,facecoook.com,,?,,com,
Bit Flipping,facefoook.com,103.224.212.222,,park-mx.above.com,com,
Bit Flipping,facejoook.com,,?,,com,
Bit Flipping,faceroook.com,,?,,com,
Bit Flipping,facgboook.com,,?,,com,
Bit Flipping,facmboook.com,,?,,com,
Bit Flipping,fageboook.com,,?,,com,
Bit Flipping,fakeboook.com,94.23.85.241,FR,FRANCE,fakeboook.com,com,
Bit Flipping,faseboook.com,69.162.80.54,PH,PHILIPPINES,,com,
Bit Flipping,fcceboook.com,,?,,com,
Bit Flipping,fqceboook.com,,?,,com,
Bit Flipping,naceboook.com,,?,,com,
Bit Flipping,vaceboook.com,,?,,com,
Homoglyphs,faceb000k.com,184.168.221.33,US,UNITED STATES,smtp.secureserver.net,com,
Homoglyphs,faceb00ok.com,,?,,com,
Homoglyphs,faceb0o0k.com,,?,,com,
Homoglyphs,faceb0ook.com,103.224.182.214,,park-mx.above.com,com,
Homoglyphs,facebo00k.com,,?,,com,
Homoglyphs,facebo0ok.com,103.224.182.252,,park-mx.above.com,com,
Homoglyphs,faceboo0k.com,103.224.182.214,,park-mx.above.com,com,
Wrong TLD,faceboook.ca,185.53.179.6,,mail.h-email.net,ca,
Wrong TLD,faceboook.ch,162.255.119.44,,eforward2.registrar-servers.com,ch,
Wrong TLD,faceboook.de,31.13.69.197,IE,IRELAND,,de,
Wrong TLD,faceboook.edu,,?,,edu,
Wrong TLD,faceboook.es,107.150.167.254,,,es,
Wrong TLD,faceboook.fr,185.53.178.6,,mail.h-email.net,fr,
Wrong TLD,faceboook.it,185.53.178.8,,mail.h-email.net,it,
Wrong TLD,faceboook.jp,66.6.44.4,US,UNITED STATES,,jp,
Wrong TLD,faceboook.net,72.52.4.119,US,UNITED STATES,localhost,net,
Wrong TLD,faceboook.nl,,?,,nl,
Wrong TLD,faceboook.no,185.53.179.6,,mail.h-email.net,no,
Wrong TLD,faceboook.org,89.252.184.10,TR,TURKEY,mail.faceboook.org,org,
Wrong TLD,faceboook.ru,81.177.140.12,RU,RUSSIAN FEDERATION,mail.faceboook.ru,ru,
Wrong TLD,faceboook.se,31.13.69.197,IE,IRELAND,,se,
Wrong TLD,faceboook.us,67.23.238.179,US,UNITED STATES,faceboook.us,us,

